rating_id,customer_id,product_id,rating,review_text,rating_date
1,1,1,5,Excellent quality large gear. Very durable.,2024-02-05 10:30:00
2,1,2,4,Good small gear for the price.,2024-02-05 10:35:00
3,2,2,5,Perfect for high-speed operations!,2024-02-06 11:15:00
4,3,1,4,Solid performance on large gear.,2024-02-06 14:20:00
5,3,2,3,Decent small gear but could be better.,2024-02-06 14:25:00
6,4,1,5,Best value for a large gear.,2024-02-07 09:45:00
9,6,2,4,Works well for most applications.,2024-02-08 15:10:00
10,7,1,5,Outstanding large gear quality.,2024-02-08 10:20:00
11,7,2,4,Reliable small gear.,2024-02-08 10:25:00
12,8,1,3,Average large gear.,2024-02-09 11:45:00
13,8,2,5,Excellent small gear!,2024-02-09 11:50:00
14,9,1,4,Very satisfied with this large gear.,2024-02-09 14:15:00
15,10,2,5,Top notch small gear.,2024-02-10 09:30:00
18,12,1,4,Meets our needs.,2024-02-11 15:45:00
20,15,1,4,Solid choice for large gear.,2024-02-12 14:20:00
